packet_id,documents_total,documents_parsed,documents_failed,download_failed,native_docs,mixed_docs,scanned_docs,avg_blocks_per_doc,avg_block_words,avg_tokens_per_block,total_words_all_docs,total_tokens_all_docs,manifest_path,quality_summary_path
packet_1,8,8,0,0,8,0,0,140.75,64.74,95.03,73536,107325,data/case_law_packets/packet_1/packet_manifest.csv,data/case_law_packets/packet_1/parsing_quality_summary.csv
packet_2,8,8,0,0,8,0,0,91.75,52.9,76.81,46828,65935,data/case_law_packets/packet_2/packet_manifest.csv,data/case_law_packets/packet_2/parsing_quality_summary.csv
packet_3,8,8,0,0,8,0,0,249.0,56.62,84.43,116436,170584,data/case_law_packets/packet_3/packet_manifest.csv,data/case_law_packets/packet_3/parsing_quality_summary.csv
packet_4,8,8,0,0,8,0,0,122.0,59.62,90.9,58654,87141,data/case_law_packets/packet_4/packet_manifest.csv,data/case_law_packets/packet_4/parsing_quality_summary.csv
